REACTANT_1,REACTANT_2,PRODUCT_1,CATALYST
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C=1(S[H])C=CC=CC=1,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC=CC=3)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(S[H])CCCCC1,C1(C(SC2CCCCC2)NC(C3=CC=CC=C3)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C(S[H])C,C1(C(NC(C2=CC=CC=C2)SCC)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(=CC=C(C=C1)S[H])OC,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC(OC)=CC=3)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C=1(S[H])C=CC=CC=1,C(C=1C=CC(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)=CC=1)(F)(F)F,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(S[H])CCCCC1,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)(F)(F)F,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C(S[H])C,C(C=1C=CC(C(SCC)NC(C2=CC=CC=C2)=O)=CC=1)(F)(F)F,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=CC=C(C=C1)S[H])OC,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3=CC=C(C=C3)OC)C=C1)(F)(F)F,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C=1(S[H])C=CC=CC=1,C=1(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)C=CC(=CC=1)OC,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(S[H])CCCCC1,C1(=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)OC,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C(S[H])C,C(C1=CC=CC=C1)(NC(C2=CC=C(OC)C=C2)SCC)=O,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(=CC=C(C=C1)S[H])OC,C1(=CC=C(C(SC2=CC=C(C=C2)OC)NC(C3=CC=CC=C3)=O)C=C1)OC,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1
