REACTANT_1,REACTANT_2,PRODUCT_1,CATALYST
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(=C(S[H])C=CC=C1)C,C1(=C(SC(C=2C=CC=CC=2)NC(C3=CC=CC=C3)=O)C=CC=C1)C,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=C(S[H])C=CC=C1)C,C(C=1C=CC(C(SC2=C(C=CC=C2)C)NC(C3=CC=CC=C3)=O)=CC=1)(F)(F)F,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(=C(S[H])C=CC=C1)C,C=1(C(NC(C2=CC=CC=C2)=O)SC=3C(=CC=CC=3)C)C=CC(=CC=1)OC,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(=C(S[H])C=CC=C1)C,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=C(C=CC=C4)C)=CC=C1)C=CC=C2,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C=1(S[H])C=CC=CC=1,C1(C(NC(C=2C(=CC(=CC=2)Cl)Cl)SC3=CC=CC=C3)=O)=CC=CC=C1,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C1(S[H])CCCCC1,C=1(C(C(SC2CCCCC2)NC(C3=CC=CC=C3)=O)=CC=C(C=1)Cl)Cl,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C(S[H])C,C(C1=CC=CC=C1)(NC(C=2C(=CC(=CC=2)Cl)Cl)SCC)=O,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C1(=CC=C(C=C1)S[H])OC,C(C1=CC=CC=C1)(NC(C=2C(=CC(=CC=2)Cl)Cl)SC=3C=CC(OC)=CC=3)=O,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C1(=C(S[H])C=CC=C1)C,C1(C(NC(C=2C(=CC(=CC=2)Cl)Cl)SC=3C(=CC=CC=3)C)=O)=CC=CC=C1,O=P1(O)Oc2c(Br)cc3ccccc3c2-c2c(c(Br)cc3ccccc23)O1
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(=C(S[H])C=CC=C1)C,C1(=C(SC(C=2C=CC=CC=2)NC(C3=CC=CC=C3)=O)C=CC=C1)C,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=C(S[H])C=CC=C1)C,C(C=1C=CC(C(SC2=C(C=CC=C2)C)NC(C3=CC=CC=C3)=O)=CC=1)(F)(F)F,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(=C(S[H])C=CC=C1)C,C=1(C(NC(C2=CC=CC=C2)=O)SC=3C(=CC=CC=3)C)C=CC(=CC=1)OC,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(=C(S[H])C=CC=C1)C,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=C(C=CC=C4)C)=CC=C1)C=CC=C2,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C=1(S[H])C=CC=CC=1,C1(C(NC(C=2C(=CC(=CC=2)Cl)Cl)SC3=CC=CC=C3)=O)=CC=CC=C1,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C1(S[H])CCCCC1,C=1(C(C(SC2CCCCC2)NC(C3=CC=CC=C3)=O)=CC=C(C=1)Cl)Cl,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C(S[H])C,C(C1=CC=CC=C1)(NC(C=2C(=CC(=CC=2)Cl)Cl)SCC)=O,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C1(=CC=C(C=C1)S[H])OC,C(C1=CC=CC=C1)(NC(C=2C(=CC(=CC=2)Cl)Cl)SC=3C=CC(OC)=CC=3)=O,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C(C1=CC=CC=C1)(N=CC=2C(=CC(=CC=2)Cl)Cl)=O,C1(=C(S[H])C=CC=C1)C,C1(C(NC(C=2C(=CC(=CC=2)Cl)Cl)SC=3C(=CC=CC=3)C)=O)=CC=CC=C1,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(=C(S[H])C=CC=C1)C,C1(=C(SC(C=2C=CC=CC=2)NC(C3=CC=CC=C3)=O)C=CC=C1)C,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=C(S[H])C=CC=C1)C,C(C=1C=CC(C(SC2=C(C=CC=C2)C)NC(C3=CC=CC=C3)=O)=CC=1)(F)(F)F,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3
